Facility ID,Facility Name,Short Description,Description,Facility Open Date,Facility Address 1,Facility Address 2,Facility City,Facility State,Facility Zip Code,Facility Phone Number,Facility Fax Number,Facility Website,Facility County Code,Facility County,Regional Office ID,Regional Office,Main Site Name,Main Site Facility ID,Operating Certificate Number,Operator Name,Operator Address 1,Operator Address 2,Operator City,Operator State,Operator Zip Code,Cooperator Name,Cooperator Address,Cooperator Address 2,Cooperator City,Cooperator State,Cooperator Zip Code,Ownership Type,Facility Latitude,Facility Longitude,Facility Location
7889,Physicians Choice Surgicenter,DTC,Diagnostic and Treatment Center,03/16/2000,82-12 151st Avenue,,Howard Beach,New York,11414,7183229800,,,7096,Queens,5,Metropolitan Area Regional Office - New York City,,,7003253R,Physicians Choice Surgicenter,82-12 151th Avenue,,Howard Beach,New York,11414,,,,,New York,,Business Corporation,40.667561,-73.852402,"(40.667561, -73.852402)"
8519,Carillon Dialysis LLC,DTC,Diagnostic and Treatment Center,08/09/2007,830 Park Avenue,,Huntington,New York,11743,6316300398,,,51,Suffolk,7,Metropolitan Area Regional Office - Long Island,,,5153210R,"Carillon Dialysis, LLC",820 Park Avenue,,Huntington,New York,11745,,,,,New York,,LLC,40.855377,-73.38932,"(40.855377, -73.38932)"
9042,St. Joseph's Dialysis - Regional,DTC,Diagnostic and Treatment Center,07/01/2009,973 James Street,,Syracuse,New York,13203,3157036700,,,33,Onondaga,3,Central New York Regional Office,,,3301221R,"SJLS, LLC",301 Prospect Avenue,,Syracuse,New York,13203,,,,,New York,,LLC,43.058708,-76.135658,"(43.058708, -76.135658)"
9250,The Burdett Care Center,HOSP,Hospital,10/01/2011,2215 Burdett Avenue,,Troy,New York,12180,5182713655,,,41,Rensselaer,4,Capital District Regional Office,,,4102004H,"The Burdett Care Center, Inc",2215 Burdett Avenue,Suite 200,Troy,New York,12180,,,,,New York,,Not for Profit Corporation,42.733574,-73.671455,"(42.733574, -73.671455)"
9288,Fishkill Dialysis Center,DTC,Diagnostic and Treatment Center,12/02/2011,60 Merritt Boulevard,,Fishkill,New York,12524,8454401280,8454401282,,13,Dutchess,6,Metropolitan Area Regional Office - New Rochelle,,,1320201R,"Fishkill Dialysis Center, LLC",60 Merritt Boulevard,,Fishkill,New York,12524,,,,,New York,,LLC,41.532356,-73.887177,"(41.532356, -73.887177)"
10016,"DSI Newburgh, LLC",DTC,Diagnostic and Treatment Center,02/06/2017,39-47 North Plank Road,,Newburgh,New York,12550,2123244696,,,35,Orange,6,Metropolitan Area Regional Office - New Rochelle,,,3563200R,"DSI Newburgh, LLC",39-47 North Plank Road,,Newburgh,New York,12550,,,,,New York,,LLC,41.5222,-74.030208,"(41.5222, -74.030208)"
10225,Bay Ridge Surgi-Center,DTC,Diagnostic and Treatment Center,11/23/2018,370 Bay Ridge Parkway,,Brooklyn,New York,11209,7188335800,,,7095,Kings,5,Metropolitan Area Regional Office - New York City,,,7001152R,"Bay Ridge Surgi-Center, LLC",370 Bay Ridge Parkway,,Brooklyn,New York,11209,,,,,New York,,LLC,40.630716,-74.025721,"(40.630716, -74.025721)"
1213,Covenant House,DTC,Diagnostic and Treatment Center,11/13/1980,460 West 41st Street,,New York,New York,10036,2126130300,,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,7002116R,Covenant House,460 West 41st Street,,New York,New York,10036,,,,,New York,,Not for Profit Corporation,40.758739,-73.995537,"(40.758739, -73.995537)"
124,Elcor Nursing and Rehabilitation Center,NH,Residential Health Care Facility - SNF,02/01/1989,48 Colonial Drive,,Horseheads,New York,14845,6077390304,6077960540,,7,Chemung,2,Western Regional Office - Rochester,,,0722304N,"Elcor Operating Company, LLC",300 Gleed Avenue,,East Aurora,New York,14052,,,,,New York,,LLC,42.162086,-76.854225,"(42.162086, -76.854225)"
7899,Pelham Physical Medicine Inc,DTC,Diagnostic and Treatment Center,01/17/2003,2118 Williamsbridge Road,,Bronx,New York,10461,7188233900,,,7094,Bronx,5,Metropolitan Area Regional Office - New York City,,,7000256R,Pelham Physical Medicine Inc,2118 Williamsbridge Road,,New York,New York,10461,,,,,New York,,Business Corporation,40.855915,-73.85553,"(40.855915, -73.85553)"
1639,Mount Sinai Hospital - Mount Sinai Hospital of Queens,HOSP,Hospital,08/01/1979,25-10 30th Avenue,,Long Island City,New York,11102,7189321000,,,7096,Queens,5,Metropolitan Area Regional Office - New York City,Mount Sinai Hospital,1456,7002024H,The Mount Sinai Hospital,One Gustave L Levy Place,,New York,New York,10029,"Mount Sinai Hospitals Group, Inc.",One Gustave L. Levy Place,,New York,New York,10029,Not for Profit Corporation,40.768269,-73.924461,"(40.768269, -73.924461)"
6637,"All City Family Healthcare Center, Inc.",DTC,Diagnostic and Treatment Center,06/15/2004,3632 Nostrand Avenue,,Brooklyn,New York,11229,7183324409,,,7095,Kings,5,Metropolitan Area Regional Office - New York City,,,7001285R,All City Family Healthcare Center Inc,3636 Nostrand Avenue,,Brooklyn,New York,11229,,,,,New York,,Business Corporation,40.595226,-73.940964,"(40.595226, -73.940964)"
1178,BronxCare Hospital Center,HOSP,Hospital,01/01/1901,1650 Grand Concourse,,Bronx,New York,10457,7189018800,,,7094,Bronx,5,Metropolitan Area Regional Office - New York City,BronxCare Hospital Center,1164,7000001H,BronxCare Health System,1276 Fulton Avenue,,Bronx,New York,10456,,,,,New York,,Not for Profit Corporation,40.843609,-73.911545,"(40.843609, -73.911545)"
3089,Terence Cardinal Cooke Health Care Center,NH,Residential Health Care Facility - SNF,08/17/1983,1249 Fifth Avenue,,New York,New York,10029,2123603600,,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,7002345N,Terence Cardinal Cooke Health Care Ctr,1249 Fifth Avenue,,New York,New York,10029,Catholic Health Care System,"205 Lexington Avenue, 3rd Floor",,New York,New York,10016,Not for Profit Corporation,40.794212,-73.951065,"(40.794212, -73.951065)"
683,Ontario Center for Rehabilitation and Healthcare,NH,Residential Health Care Facility - SNF,01/01/1901,3062 County Complex Drive,,Canandaigua,New York,14424,5853964340,5853964414,,34,Ontario,2,Western Regional Office - Rochester,,,3429304N,Ontario Operations Associates LLC,4770 White Plains Road,,Bronx,New York,10470,,,,,New York,,LLC,42.884579,-77.211769,"(42.884579, -77.211769)"
9006,"FedCare, Inc.",DTC,Diagnostic and Treatment Center,05/14/2008,344 West 51 Street,,New York,New York,10019,2123140600,,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,7002813R,"FedCare, Inc.",344 West 51st Street,,New York,New York,10019,,,,,New York,,Not for Profit Corporation,40.76363,-73.98748,"(40.76363, -73.98748)"
274,Comprehensive Rehabilitation and Nursing Center at Williamsville,NH,Residential Health Care Facility - SNF,01/01/1901,147 Reist Street,,Williamsville,New York,14221,7166335400,7166336404,,14,Erie,1,Western Regional Office - Buffalo,,,1421308N,Comprehensive at Williamsville LLC,147 and 149 Reist Street,,Williamsville,New York,14221,,,,,New York,,LLC,42.965672,-78.751503,"(42.965672, -78.751503)"
6141,Helen Hayes Hospital RHCF,NH,Residential Health Care Facility - SNF,05/24/2000,51 N Route 9W,,West Haverstraw,New York,10993,8457864000,,,43,Rockland,6,Metropolitan Area Regional Office - New Rochelle,,,4322300N,New York State Department of Health,Empire State Plaza,Corning Tower  Room 1683,Albany,New York,12237,,,,,New York,,State,41.213886,-73.986,"(41.213886, -73.986)"
3855,Oneida County Health Department,DTC,Diagnostic and Treatment Center,01/01/2000,406 Elizabeth Ave,,Utica,New York,13501,3157986400,,,32,Oneida,3,Central New York Regional Office,,,3202204R,Oneida County Health Department,800 Park Street,,Utica,New York,13501,,,,,New York,,County,43.099213,-75.224884,"(43.099213, -75.224884)"
181,Vassar Brothers Medical Center,HOSP,Hospital,01/01/1901,45 Reade Place,,Poughkeepsie,New York,12601,8454548500,,,13,Dutchess,6,Metropolitan Area Regional Office - New Rochelle,,,1302001H,"Health Quest Systems, Inc.",45 Reade Place,,Poughkeepsie,New York,12601,Vassar Brothers Hospital Inc,Reade Place,,Poughkeepsie,New York,12601,Not for Profit Corporation,41.694523,-73.935799,"(41.694523, -73.935799)"
6664,"Saratoga-Schenectady Endoscopy Center, LLC",DTC,Diagnostic and Treatment Center,07/01/2004,1 Wellness Drive,,Burnt Hills,New York,12027,5188311550,,,45,Saratoga,4,Capital District Regional Office,,,4550200R,"Saratoga-Schenectady Endoscopy Center, LLC","848 Route 50, P.O. Box 419",,Burnt Hills,New York,12027,,,,,New York,,LLC,42.917172,-73.891928,"(42.917172, -73.891928)"
6536,"Brighton Surgery Center,LLC",DTC,Diagnostic and Treatment Center,05/07/2003,980 Westfall Road,,Rochester,New York,14618,5852958500,,,27,Monroe,2,Western Regional Office - Rochester,,,2701237R,"Brighton Surgery Center, LLC",980 Westfall Road,,Rochester,New York,14618,,,,,New York,,LLC,43.115421,-77.595154,"(43.115421, -77.595154)"
892,San Simeon By the Sound Center for Nursing&Rehabilitation,NH,Residential Health Care Facility - SNF,02/01/1989,"61700 Route 48, PO Box 2122",,Greenport,New York,11944,6314772110,,,51,Suffolk,7,Metropolitan Area Regional Office - Long Island,,,5127302N,San Simeon By the Sound Center for Nursing & Rehabilitation,"67100 Route 48, P.O. Box 2122",,Greenport,New York,11944,,,,,New York,,Not for Profit Corporation,41.100346,-72.388855,"(41.100346, -72.388855)"
4963,Family Health Network of Central New York Inc,DTC,Diagnostic and Treatment Center,06/23/2003,4038 West Road,,Cortland,New York,13045,6077533797,,,11,Cortland,3,Central New York Regional Office,,,1101201R,Family Health Network of Central New York Inc,11 Avena Avenue,,Cortland,New York,13045,,,,,New York,,Not for Profit Corporation,42.602123,-76.201675,"(42.602123, -76.201675)"
647,Jewish Home of Central New York,NH,Residential Health Care Facility - SNF,01/01/1901,4101 E Genesee St,,Syracuse,New York,13214,3154469111,,,33,Onondaga,3,Central New York Regional Office,,,3301309N,Jewish Home of Central NY Inc,4101 East Genesee Street,,Syracuse,New York,13214,,,,,New York,,Not for Profit Corporation,43.036987,-76.075798,"(43.036987, -76.075798)"
10302,HSS West Side ASC,DTC,Diagnostic and Treatment Center,07/16/2019,600-610 West 58th Street,,New York,New York,10019,2127747026,,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,7002815R,"Hospital for Special Surgery West Side Ambulatory Surgery Center, LLC",600-610 West 58th Street,,New York,New York,10019,,,,,New York,,LLC,,,
1703,Brookhaven Rehabilitation & Health Care Center LLC,NH,Residential Health Care Facility - SNF,01/01/1970,250 Beach 17th Street,,Far Rockaway,New York,11691,7184717500,7183279074,,7096,Queens,5,Metropolitan Area Regional Office - New York City,,,7003399N,Brookhaven Rehabilitation & Health Care Center LLC,250 Beach 17th Street,,Far Rockaway,New York,11691,,,,,New York,,LLC,40.596481,-73.751122,"(40.596481, -73.751122)"
1176,SBH Health System,HOSP,Hospital,01/01/1901,4422 Third Avenue,,Bronx,New York,10457,7189606100,,,7094,Bronx,5,Metropolitan Area Regional Office - New York City,,,7000014H,St Barnabas Hospital Inc,4422 Third Avenue,,Bronx,New York,10457,,,,,New York,,Not for Profit Corporation,40.853909,-73.891014,"(40.853909, -73.891014)"
484,St. Mary's Healthcare,HOSP,Hospital,01/01/1901,427 Guy Park Avenue,,Amsterdam,New York,12010,5188421900,,,28,Montgomery,4,Capital District Regional Office,,,2801001H,St. Mary's Healthcare,427 Guy Park Ave,,Amsterdam,New York,12010,,,,,New York,,Not for Profit Corporation,42.953758,-74.216194,"(42.953758, -74.216194)"
4285,Hamilton Park Nursing and Rehabilitation Center,NH,Residential Health Care Facility - SNF,06/27/1990,691 92 Street,,Brooklyn,New York,11228,7185671820,7185671833,,7095,Kings,5,Metropolitan Area Regional Office - New York City,,,7001034N,"Hamilton Park Multicare, LLC",699 92nd Street,,Brooklyn,New York,11228,,,,,New York,,LLC,40.61515,-74.023781,"(40.61515, -74.023781)"
9059,Crouse Hospital - Commonwealth Division,HOSP,Hospital,06/01/2009,6010 East Malloy Road,,Syracuse,New York,13211,3154342470,3154378366,,33,Onondaga,3,Central New York Regional Office,Crouse Hospital,636,3301008H,Crouse Health Hospital Inc,736 Irving Avenue,,Syracuse,New York,13210,"Crouse Health System, Inc.",736 Irving Avenue,,Syracuse,New York,13210,Not for Profit Corporation,43.099155,-76.098633,"(43.099155, -76.098633)"
6185,OrthoNY Ambulatory Surgery Center - Albany,DTC,Diagnostic and Treatment Center,08/25/2000,3 Atrium Drive Suite 150,,Albany,New York,12205,5184532361,,,1,Albany,4,Capital District Regional Office,,,0101219R,Executive Woods Ambulatory Surgery Center LLC,3 Atrium Drive,,Albany,New York,12205,,,,,New York,,LLC,42.688889,-73.776093,"(42.688889, -73.776093)"
873,Ira Davenport Memorial Hospital,HOSP,Hospital,01/01/1901,7571 State Route 54,,Bath,New York,14810,6077768500,,,50,Steuben,2,Western Regional Office - Rochester,,,5022000H,Ira Davenport Memorial Hospital Inc,Po Box 350 Route 54,,Bath,New York,14810,Arnot Ogden Medical Center,600 Roe Avenue,,Elmira,New York,14901,Not for Profit Corporation,42.372952,-77.278656,"(42.372952, -77.278656)"
7734,Seneca Hill Manor Inc,NH,Residential Health Care Facility - SNF,03/01/1999,20 Manor Drive,,Oswego,New York,13126,3153495300,,,37,Oswego,3,Central New York Regional Office,,,3702312N,Seneca Hill Manor Inc,20 Manor Drive,,Oswego,New York,13126,,,,,New York,,Not for Profit Corporation,43.397186,-76.459465,"(43.397186, -76.459465)"
1,Albany Medical Center Hospital,HOSP,Hospital,01/01/1901,43 New Scotland Avenue,,Albany,New York,12208,5182623474,5182623398,,1,Albany,4,Capital District Regional Office,,,0101000H,Albany Medical Center Hospital,New Scotland Avenue,,Albany,New York,12208,Albany Medical Center,New Scotland Avenue,,Albany,New York,12208,Not for Profit Corporation,42.65337,-73.773834,"(42.65337, -73.773834)"
10325,"Northern Medical Center, Inc.",DTC,Diagnostic and Treatment Center,08/14/2019,14 Jason Place,,Middletown,New York,10940,9177314858,,,35,Orange,6,Metropolitan Area Regional Office - New Rochelle,,,3501206R,"Northern Medical Center, Inc.",42 Jason Place,,Middletown,New York,10940,,,,,New York,,Not for Profit Corporation,,,
3765,Salem Hills Rehabilitation and Nursing Center,NH,Residential Health Care Facility - SNF,02/01/1989,"539 Route 22, P.O. Box 360",,Purdys,New York,10578,9142773691,,,59,Westchester,6,Metropolitan Area Regional Office - New Rochelle,,,5960304N,"Salem Acquisition I, LLC","539 Route 22, P.O. Box 360",,Purdys,New York,10578,,,,,New York,,LLC,41.328899,-73.656799,"(41.328899, -73.656799)"
9952,The Steven and Alexandra Cohen Pediatric Long Term Care Pavilion,NH,Residential Health Care Facility - SNF,09/07/2016,95 Bradhurst Avenue,,Valhalla,New York,10595,9148312582,9143473865,,59,Westchester,6,Metropolitan Area Regional Office - New Rochelle,,,5957305N,Blythedale Childrens Hospital Inc,Bradhurst Avenue,,Valhalla,New York,10595,,,,,New York,,Not for Profit Corporation,41.074072,-73.800032,"(41.074072, -73.800032)"
1031,Newark Manor Nursing Home Inc,NH,Residential Health Care Facility - SNF,02/01/1989,222 West Pearl Street,,Newark,New York,14513,3153314690,,,58,Wayne,2,Western Regional Office - Rochester,,,5820302N,Newark Manor Nursing Home Inc,222 West Pearl Street,,Newark,New York,14513,,,,,New York,,Business Corporation,43.062256,-77.100143,"(43.062256, -77.100143)"
1241,Riverdale Nursing Home,NH,Residential Health Care Facility - SNF,02/01/1989,641 West 230th St,,Bronx,New York,10463,7187964800,,,7094,Bronx,5,Metropolitan Area Regional Office - New York City,,,7000357N,Riverdale Nursing Home Inc,641 West 230th Street,,Bronx,New York,10463,,,,,New York,,Business Corporation,40.882172,-73.914978,"(40.882172, -73.914978)"
6384,New York Center for Rehabilitation & Nursing,NH,Residential Health Care Facility - SNF,04/25/2002,26-13 21st Street,,Astoria,New York,11102,7186264800,,,7096,Queens,5,Metropolitan Area Regional Office - New York City,,,7003405N,"New York Rehabilitation Care Management, LLC",26-13 21st Street,,Astoria,New York,11102,,,,,New York,,LLC,40.773117,-73.925148,"(40.773117, -73.925148)"
156,Livingston Hills Nursing and Rehabilitation Center,NH,Residential Health Care Facility - SNF,02/01/1989,2781 Route 9,P.O. Box 95,Livingston,New York,12541,5188513041,,,10,Columbia,4,Capital District Regional Office,,,1063302N,Livingston S and V Operations LLC,"Gutnicki LLP, 4711 Gold Road, Suite 200",,Skokie,New York,60076,,,,,New York,,LLC,42.139454,-73.784914,"(42.139454, -73.784914)"
3433,Smithtown Center for Rehabilitation & Nursing Care,NH,Residential Health Care Facility - SNF,02/26/1992,391 North Country Road,,Smithtown,New York,11787,6313612020,,,51,Suffolk,7,Metropolitan Area Regional Office - Long Island,,,5157314N,"Smithtown Health Care Management, LLC",391 North Country Road,,Smithtown,New York,11787,,,,,New York,,LLC,40.872643,-73.171196,"(40.872643, -73.171196)"
9514,Vestal Park Rehabilitation and Nursing Center,NH,Residential Health Care Facility - SNF,05/11/2012,105 West Sheedy Road,,Vestal,New York,13850,6077544105,,,3,Broome,3,Central New York Regional Office,,,0364302N,"VRNC, LLC",105 West Sheedy Road,Suite 225,Vestal,New York,13850,,,,,New York,,LLC,42.05432,-76.021143,"(42.05432, -76.021143)"
896,St Charles Hospital,HOSP,Hospital,01/01/1901,200 Belle Terre Road,,Port Jefferson,New York,11777,6314746600,,,51,Suffolk,7,Metropolitan Area Regional Office - Long Island,,,5149001H,"Catholic Health System of Long Island, Inc.",1 Huntington Quadrangle,,Melville,New York,11747,St Charles Hosp and Rehab Ctr Inc,200 Bell Terre Road,,Port Jefferson,New York,11777,Not for Profit Corporation,40.947533,-73.060081,"(40.947533, -73.060081)"
655,St Camillus Residential Health Care Facility,NH,Residential Health Care Facility - SNF,01/01/1901,813 Fay Road,,Syracuse,New York,13219,3154882951,,,33,Onondaga,3,Central New York Regional Office,,,3301321N,St Camillus Residential Health Care Facility,813 Fay Road,,Syracuse,New York,13219,,,,,New York,,Not for Profit Corporation,43.035419,-76.208199,"(43.035419, -76.208199)"
762,Troy Center for Rehabilitation and Nursing,NH,Residential Health Care Facility - SNF,02/01/1979,49 Marvin Avenue,,Troy,New York,12180,5182736646,5182730168,,41,Rensselaer,4,Capital District Regional Office,,,4102313N,CLR Troy LLC,49 Marvin Avenue,,Troy,New York,12180,,,,,New York,,LLC,42.697277,-73.696358,"(42.697277, -73.696358)"
339,United Memorial Medical Center North Street Campus,HOSP,Hospital,01/01/1901,127 North St,,Batavia,New York,14020,5853436030,,,18,Genesee,1,Western Regional Office - Buffalo,,,1801000H,United Memorial Medical Center,127 North St,,Batavia,New York,14020,Rochester Regional Health,89 Genesee Street,,Rochester,New York,14611,Not for Profit Corporation,43.00404,-78.177475,"(43.00404, -78.177475)"
10072,South Lewis Middle/High School,,School Based Primary Care Hospital - Critical Access Extension Clinic,09/01/2017,4264 E. Road,,Turin,New York,13473,3153765852,,,24,Lewis,3,Central New York Regional Office,Lewis County General Hospital,383,2424700C,County of Lewis,Court House,,Lowville,New York,13367,,,,,New York,,County,43.636304,-75.395925,"(43.636304, -75.395925)"
976,River View Rehabilitation and Nursing Care Center,NH,Residential Health Care Facility - SNF,02/01/1980,510 Fifth Avenue,,Owego,New York,13827,6076872594,6076879470,,53,Tioga,3,Central New York Regional Office,,,5324303N,Riverview Facility Operations LLC,510 5th Ave,,Owego,New York,13827,,,,,New York,,LLC,42.106297,-76.249535,"(42.106297, -76.249535)"
1090,Victoria Home,NH,Residential Health Care Facility - SNF,01/01/1991,25 N Malcolm Street,,Ossining,New York,10562,9149412450,,,59,Westchester,6,Metropolitan Area Regional Office - New Rochelle,,,5905305N,Victoria Home,North Malcolm Street,,Ossining,New York,10562,,,,,New York,,Not for Profit Corporation,41.16415,-73.865364,"(41.16415, -73.865364)"
1469,Mount Sinai St. Luke's,HOSP,Hospital,01/01/1901,1111 Amsterdam Avenue,,New York,New York,10025,2125234295,,,7093,New York,5,Metropolitan Area Regional Office - New York City,Mount Sinai West,1466,7002032H,St Lukes Roosevelt Hospital Center Inc,Amsterdam Avenue At 114th Street,,New York,New York,10025,"Mount Sinai Hospitals Group, Inc.",One Gustave L. Levy Place,,New York,New York,10029,Not for Profit Corporation,40.805912,-73.961639,"(40.805912, -73.961639)"
6678,Linden Surgery Center,DTC,Diagnostic and Treatment Center,04/27/2006,10 Hagen Drive,,Rochester,New York,14625,5852678200,5852678256,,27,Monroe,2,Western Regional Office - Rochester,,,2701242R,"Unity Linden Oaks Surgery Center, LLC",10 Hagen Drive,,Rochester,New York,14625,Rochester Regional Health,89 Genesee Street,,Rochester,New York,14611,LLC,43.126083,-77.516708,"(43.126083, -77.516708)"
203,Renaissance Rehabilitation and Nursing Care Center,NH,Residential Health Care Facility - SNF,01/01/1991,4975 Albany Post Road,,Staatsburg,New York,12580,8458894500,8458894309,,13,Dutchess,6,Metropolitan Area Regional Office - New Rochelle,,,1356304N,"Renaissance Healthcare Group, LLC",4975 Albany Post Road,,Staatsburg,New York,12580,,,,,New York,,LLC,41.83255,-73.93364,"(41.83255, -73.93364)"
6656,"Physicare Multi-Services, Ltd",DTC,Diagnostic and Treatment Center,05/20/2004,3508 Flatlands Avenue,,Brooklyn,New York,11234,7182533900,,,7095,Kings,5,Metropolitan Area Regional Office - New York City,,,7001116R,"Physicare Multi-Services, Ltd",3508 Flatlands Avenue,,Brooklyn,New York,11234,,,,,New York,,Business Corporation,40.617695,-73.940674,"(40.617695, -73.940674)"
1277,East Haven Nursing & Rehabilitation Center,NH,Residential Health Care Facility - SNF,01/01/1991,2323-27 Eastchester Road,,Bronx,New York,10469,7186552848,,,7094,Bronx,5,Metropolitan Area Regional Office - New York City,,,7000360N,"East Haven Nursing & Rehabilitation Center, LLC",2323-27 Eastchester Road,,Bronx,New York,10469,,,,,New York,,LLC,40.859859,-73.843124,"(40.859859, -73.843124)"
1401,Sea Crest Nursing and Rehabilitation Center,NH,Residential Health Care Facility - SNF,08/01/1979,3035 West 24th St,,Brooklyn,New York,11224,7183724500,7183724579,,7095,Kings,5,Metropolitan Area Regional Office - New York City,,,7001806N,"Sea Crest Acquisition 1, LLC",3035 W. 24th Street,,Brooklyn,New York,11224,,,,,New York,,LLC,40.572155,-73.990364,"(40.572155, -73.990364)"
6250,Adira at Riverside Rehabilitation and Nursing,NH,Residential Health Care Facility - SNF,05/29/2001,120 Odell Ave,,Yonkers,New York,10701,9149643333,,,59,Westchester,6,Metropolitan Area Regional Office - New Rochelle,,,5907318N,L&A Operations LLC,1772 58th Street,,Brooklyn,New York,11204,,,,,New York,,LLC,40.970741,-73.886269,"(40.970741, -73.886269)"
434,The Brook at High Falls Nursing Home and Rehabilitation Center,NH,Residential Health Care Facility - SNF,02/01/1980,2150 St. Paul Street,,Rochester,New York,14621,5853425540,5853423539,,27,Monroe,2,Western Regional Office - Rochester,,,2701365N,AGA Operating LLC,2150 St. Paul Street,,Rochester,New York,14621,,,,,New York,,LLC,43.195732,-77.61779,"(43.195732, -77.61779)"
527,Mount Sinai South Nassau,HOSP,Hospital,01/01/1901,One Healthy Way,,Oceanside,New York,11572,5166323000,,,29,Nassau,7,Metropolitan Area Regional Office - Long Island,,,2950001H,South Nassau Communities Hospital Inc,2445 Oceanside Road,,Oceanside,New York,11572,"Mount Sinai Hospitals Group, Inc.",One Gustave L. Levy Place,,New York,New York,10029,Not for Profit Corporation,40.649601,-73.6315,"(40.649601, -73.6315)"
